EntitiyID,EntitiyName,Location,Type,Info
E_001,화재 경보기,All_Stair,None,각 층마다 있는 화재 경보기
E_002,두꺼비집,All_House,None,각 집의 두꺼비집. 각 집의 문(복도 쪽) 좌측에 설치
E_003,코를 고는 동생,P_303,None,코를 고는 동생
E_004,동생의 컴퓨터,P_303,Electric,동생의 컴퓨터
E_005,파워렉,L_01,None,원판과 바가 가득한 파워렉
E_006,쌓여있는 접시,L_02,None,식탁 위에 있는 접시. 곧 던져질 예정이다.
E_007,방송인의 컴퓨터,L_03,Electric,방송인이 방송을 위해 사용하는 컴퓨터
E_008,TV,L_04,Electric,축구광이 늘 켜놓는 텔레비전
E_009,앰프 A,L_05,Electric,기타 앰프
E_010,앰프 B,L_05,Electric,베이스 앰프
E_011,드럼,L_05,None,마이너한 락밴드의 드럼
E_012,농구공,L_06,None,농구소년의 농구공
E_013,오래된 라디오,L_08,None,옛날 노래가 흘러나오는 오래된 라디오. 배터리로 작동.
E_014,장난감 목마,L_11,None,꼬마가 타고 있는 장난감 목마
E_015,아이의 부모,L_11,None,아이를 지켜보고 있는 부모
E_016,피아노,L_12,None,커다란 그랜드 피아노
E_017,파티 손님들,L_13,None,파티에 초대받은 손님 다섯 명
E_018,DJ 턴테이블,L_13,Electric,음악을 재생 중인 턴테이블
E_019,파티용 스피커,L_13,Electric,음악이 재생되고 있는 스피커
