InteractionID,InteractionText,Category,ReqType,ReqValue,ResultType,Target,ResultValue
I_E003_01,두들겨 패서 코골이 기구를 끼고 자라고 하기,설득,None,None,ChangeType,E_003,deactivate
I_E003_02,머리 밑에 베개 받쳐주기,수리,Item,Item_Pillow,ChangeType,E_003,disable
I_E004_01,전원을 끈다,수리,None,None,ChangeType,E_004,deactivate
I_N001_01,운동을 멈춰달라고 부탁하기,대화,State,calm,ShowText,N_001,T_N001_01
I_N001_02,근육으로 가득한 뇌에 교훈을 새겨주기,설득,None,None,GameEnd,System,End_B01
I_N001_03,근육보다 단단한 망치로 후려치기,설득,Item,Item_Hammer,ChangeType,N_001,disable
I_N001_03,근육보다 단단한 망치로 후려치기,설득,Item,Item_Hammer,ChangeType,D_N001_A,disable
I_N001_03,근육보다 단단한 망치로 후려치기,설득,Item,Item_Hammer,ChangeType,D_N001_B,disable
I_N001_03,근육보다 단단한 망치로 후려치기,설득,Item,Item_Hammer,ModStat,Stress,-10
I_N002_01,조용히 해달라고 부탁하기,대화,State,calm,ChangeType,N_002,deactivate
I_N002_01,조용히 해달라고 부탁하기,대화,State,calm,ChangeType,D_N002_A,deactivate
I_N002_01,조용히 해달라고 부탁하기,대화,State,calm,ChangeType,D_N002_B,deactivate
I_N002_02,칼을 휘둘러 위협하기,설득,Item,Item_Knife,ChangeType,N_002,deactivate
I_N002_02,칼을 휘둘러 위협하기,설득,Item,Item_Knife,ChangeType,D_N002_A,deactivate
I_N002_02,칼을 휘둘러 위협하기,설득,Item,Item_Knife,ChangeType,D_N002_B,deactivate
I_N002_02,칼을 휘둘러 위협하기,설득,Item,Item_Knife,ModStat,Stress,-10
I_N002_03,배트로 예의를 가르쳐주기,설득,Item,Item_Bat,ChangeType,N_002,disable
I_N002_03,배트로 예의를 가르쳐주기,설득,Item,Item_Bat,ChangeType,D_N002_A,disable
I_N002_03,배트로 예의를 가르쳐주기,설득,Item,Item_Bat,ChangeType,D_N002_B,disable
I_N002_03,배트로 예의를 가르쳐주기,설득,Item,Item_Bat,ModStat,Stress,-10
I_E006_01,접시를 전부 깨버리기,수리,None,None,ChangeType,D_N002_B,disable
I_E006_01,접시를 전부 깨버리기,수리,None,None,ModStat,Stress,-5
I_N003_01,게임 소리를 줄여달라고 부탁하기,대화,State,calm,ChangeType,N_003,deactivate
I_N003_01,게임 소리를 줄여달라고 부탁하기,대화,State,calm,ChangeType,D_N003_A,deactivate
I_N003_01,게임 소리를 줄여달라고 부탁하기,대화,State,calm,ChangeType,D_N003_B,deactivate
I_N003_02,시끄러운 방송인을 응징하기,설득,None,None,GameEnd,System,End_B02
I_E007_01,강제 방송 종료,수리,Item,Item_Hammer,ChangeType,N_003,disable
I_E007_01,강제 방송 종료,수리,Item,Item_Hammer,ChangeType,D_N003_A,disable
I_E007_01,강제 방송 종료,수리,Item,Item_Hammer,ChangeType,D_N003_B,disable
I_N004_01,지금이 새벽 시간이라고 말해주기,대화,State,calm,ShowText,N_004,T_N004_01
I_N004_02,축구광을 축구공 취급하기,설득,None,None,PlayCutScene,System,CS_N004_01
I_N004_02,축구광을 축구공 취급하기,설득,None,None,ShowText,N_004,T_N004_02
I_N004_02,축구광을 축구공 취급하기,설득,None,None,ChangeType,N_004,deactivate
I_N004_02,축구광을 축구공 취급하기,설득,None,None,ChangeType,D_N004_A,deactivate
I_N004_02,축구광을 축구공 취급하기,설득,None,None,VolumeChange,D_N004_B,-2
I_N004_02,축구광을 축구공 취급하기,설득,None,None,ModStat,stress,-5
I_N004_03,축구광을 빨갛게 만들어주기,설득,Item,Item_Hammer,ChangeType,N_004,disable
I_N004_03,축구광을 빨갛게 만들어주기,설득,Item,Item_Hammer,ChangeType,D_N004_A,disable
